Date,Takeaway Amount
12-01-21,475.00
13-01-21,160.00
13-01-21,160.00
13-01-21,815.00
14-01-21,325.00
14-01-21,160.00
15-01-21,420.00
16-01-21,160.00
16-01-21,160.00
18-01-21,580.00
19-01-21,480.00
20-01-21,165.00
22-01-21,320.00
22-01-21,330.00
23-01-21,320.00
23-01-21,320.00
23-01-21,480.00
23-01-21,320.00
23-01-21,160.00
24-01-21,480.00
24-01-21,320.00
24-01-21,320.00
25-01-21,165.00
25-01-21,320.00
27-01-21,320.00
27-01-21,160.00
28-01-21,280.00
28-01-21,160.00
28-01-21,320.00
29-01-21,320.00
29-01-21,480.00
30-01-21,320.00
30-01-21,160.00
30-01-21,665.00
31-01-21,160.00
31-01-21,1125.00
01-02-21,480.00
01-02-21,160.00
02-02-21,160.00
02-02-21,160.00
03-02-21,160.00
03-02-21,160.00
03-02-21,320.00
03-02-21,160.00
04-02-21,160.00
05-02-21,320.00
05-02-21,160.00
06-02-21,160.00
06-02-21,160.00
07-02-21,320.00
08-02-21,160.00
08-02-21,160.00
08-02-21,160.00
09-02-21,320.00
09-02-21,160.00
10-02-21,320.00
10-02-21,640.00
11-02-21,160.00
11-02-21,160.00
12-02-21,320.00
12-02-21,160.00
13-02-21,160.00
13-02-21,160.00
14-02-21,160.00
15-02-21,320.00
15-02-21,160.00
15-02-21,160.00
16-02-21,800.00
16-02-21,160.00
17-02-21,640.00
17-02-21,165.00
18-02-21,800.00
19-02-21,800.00
19-02-21,320.00
19-02-21,320.00
20-02-21,160.00
20-02-21,160.00
21-02-21,160.00
21-02-21,160.00
22-02-21,160.00
22-02-21,480.00
23-02-21,160.00
23-02-21,160.00
23-02-21,80.00
23-02-21,320.00
24-02-21,960.00
24-02-21,160.00
25-02-21,160.00
25-02-21,160.00
25-02-21,260.00
27-02-21,320.00
27-02-21,150.00
27-02-21,160.00
28-02-21,860.00
01-03-21,1165.00
01-03-21,320.00
02-03-21,160.00
02-03-21,160.00
03-03-21,320.00
04-03-21,800.00
04-03-21,160.00
04-03-21,160.00
05-03-21,955.00
05-03-21,160.00
06-03-21,160.00
08-03-21,320.00
08-03-21,160.00
08-03-21,160.00
09-03-21,320.00
09-03-21,160.00
09-03-21,160.00
09-03-21,160.00
10-03-21,320.00
11-03-21,160.00
12-03-21,160.00
12-03-21,320.00
13-03-21,640.00
13-03-21,620.00
15-03-21,480.00
15-03-21,480.00
16-03-21,320.00
17-03-21,640.00
17-03-21,920.00
17-03-21,640.00
18-03-21,1040.00
18-03-21,1120.00
18-03-21,160.00
19-03-21,320.00
19-03-21,800.00
19-03-21,160.00
20-03-21,640.00
20-03-21,165.00
20-03-21,250.00
21-03-21,535.00
